movies id,title,year,rating,genre,scaled_rating
872906,Jawan,2023.0,7.3,Drama,0.73
554600,Uri: The Surgical Strike,2019.0,7.2,Action,0.7200000000000001
781732,Animal,2023.0,7.4,Drama,0.7400000000000001
975533,The Archies,2023.0,7.1,Drama,0.71
734253,Adipurush,2023.0,5.3,Drama,0.53
19404,Dilwale Dulhania Le Jayenge,1995.0,8.5,Drama,0.8500000000000001
20453,3 Idiots,2009.0,8.0,Drama,0.8
720557,Tiger 3,2023.0,5.9,Drama,0.5900000000000001
10757,Kabhi Khushi Kabhie Gham,2001.0,7.7,Drama,0.77
26022,My Name Is Khan,2010.0,8.1,Drama,0.81
1211409,Kya Masti Kya Dhoom,2023.0,0.0,Drama,0.0
7508,Like Stars on Earth,2007.0,8.0,Drama,0.8
864692,Pathaan,2023.0,6.6,Drama,0.66
4251,Veer-Zaara,2004.0,7.4,Drama,0.7400000000000001
205022,Chennai Express,2013.0,6.5,Drama,0.65
592508,Sooryavanshi,2021.0,5.8,Drama,0.58
11518,Mohabbatein,2000.0,7.0,Drama,0.7000000000000001
11854,Kuch Kuch Hota Hai,1998.0,7.5,Drama,0.75
534780,Andhadhun,2018.0,7.6,Drama,0.76
950071,Jaane Jaan,2023.0,7.0,Drama,0.7000000000000001
12259,Sholay,1975.0,7.0,Drama,0.7000000000000001
14072,Rab Ne Bana Di Jodi,2008.0,7.1,Drama,0.71
61202,Zindagi Na Milegi Dobara,2011.0,7.5,Drama,0.75
41517,Ra.One,2011.0,5.7,Drama,0.5700000000000001
297222,PK,2014.0,7.7,Drama,0.77
585268,War,2019.0,6.5,Action,0.65
79464,Rockstar,2011.0,7.2,Drama,0.7200000000000001
496331,Brahmāstra Part One: Shiva,2022.0,6.6,Drama,0.66
960876,Dunki,2023.0,10.0,Drama,1.0
360814,Dangal,2016.0,7.9,Drama,0.79
783461,Looop Lapeta,2022.0,6.1,Drama,0.61
8079,Om Shanti Om,2007.0,7.0,Drama,0.7000000000000001
138122,Student of the Year,2012.0,5.7,Drama,0.5700000000000001
37737,Kites,2010.0,7.2,Drama,0.7200000000000001
352173,Drishyam,2015.0,7.7,Drama,0.77
85985,Ek Tha Tiger,2012.0,6.1,Drama,0.61
4254,Kal Ho Naa Ho,2003.0,7.4,Drama,0.7400000000000001
14194,Dhoom 2,2006.0,6.6,Drama,0.66
362045,Bajirao Mastani,2015.0,7.3,Drama,0.73
444713,Commando 2 -  The Black Money Trail,2017.0,6.1,Drama,0.61
14395,Kabhi Alvida Naa Kehna,2006.0,6.4,Drama,0.6400000000000001
19666,Lagaan: Once Upon a Time in India,2001.0,7.3,Drama,0.73
472138,Thugs of Hindostan,2018.0,5.6,Drama,0.5599999999999999
41109,Don 2,2011.0,7.0,Drama,0.7000000000000001
185008,Yeh Jawaani Hai Deewani,2013.0,7.3,Drama,0.73
1209321,Majbooriyan,2023.0,0.0,Drama,0.0
191714,The Lunchbox,2013.0,7.3,Drama,0.73
30066,Gol Maal,1979.0,7.3,Drama,0.73
413543,Dear Zindagi,2016.0,7.1,Drama,0.71
