movies id,title
413884,Half Girlfriend
695958,The Girl on the Train
601807,Mrs. Serial Killer
19703,A Wednesday!
41188,Bhagam Bhag
235984,Goliyon Ki Raasleela Ram-Leela
208036,Ramaiya Vastavaiya
778946,Mission Majnu
471919,Lucknow Central
247645,Queen
191726,Ugly
280795,Haider
44613,Lafangey Parindey
161226,Biwi No.1
105379,Blood Money
126400,Gangs of Wasseypur - Part 2
25638,Laaga Chunari Mein Daag
965606,Bholaa
21461,Lage Raho Munna Bhai
966719,Kisi Ka Bhai... Kisi Ki Jaan
30886,Veer
19657,Baazigar
14165,Ta Ra Rum Pum
577328,Kabir Singh
21570,Rangeela
801526,Darlings
291157,Khoobsurat
598826,Sardar Udham
1215760,Award
58333,Tanu Weds Manu
915831,"Monica, O My Darling"
20492,Life in a Metro
38022,Amar Akbar Anthony
44565,Khatta Meetha
19670,Golmaal - Fun Unlimited
12273,Singh Is Kinng
14159,Aaja Nachle
681235,Torbaaz
39039,Awaara
569584,Why Cheat India
1205021,Rambo
533991,Stree
594669,Baaghi 3
29538,Pyaar Impossible!
16344,Luck by Chance
39837,Yaadein
97351,Phir Bhi Dil Hai Hindustani
33202,Jo Jeeta Wohi Sikandar
392572,Rustom
118051,Cocktail
454776,Fukrey Returns
1160562,Friday Night Plan
661043,Malang
413547,Kahaani 2
465642,Parmanu: The Story of Pokhran
563987,Pihu
26237,Anand
439128,Newton
472123,Golmaal Again
273886,Holiday
14214,Thoda Pyaar Thoda Magic
413727,Hotel Salvation(Mukti Bhawan)
325892,Hunterrr
577332,Panipat
401285,Jagga Jasoos
21614,Hera Pheri
877655,Dangerous
496339,Dabangg 3
33457,Nayak: The Real Hero
41903,Mr. India
45129,Salaam Bombay!
74458,Mere Brother Ki Dulhan
393441,Dishoom
460868,The Accidental Prime Minister
168114,Murder 3
228355,Boss
913838,All That Breathes
244237,Jai Ho
191562,Go Goa Gone
14705,Omkara
185640,Commando - A One Man Army
19025,Bhool Bhulaiyaa
606535,Shubh Mangal Zyada Saavdhan
20132,Kaal
671909,Yeh Ballet
107745,Saajan
93519,Karan Arjun
81273,The Dirty Picture
287499,Margarita with a Straw
21566,Raja Hindustani
391779,Housefull 3
77864,That Girl in Yellow Boots
523277,Manmarziyaan
402672,Mohenjo Daro
744876,Kaali Khuhi
336790,ABCD 2
534075,Super 30
591101,Mardaani 2
30627,Kaala Patthar
85052,Housefull 2
37822,Badmaash Company
25511,London Dreams
24595,Blue
396643,A Flying Jatt
21297,Wake Up Sid
20002,Chandni Chowk to China
695962,Bhool Bhulaiyaa 2
603673,Laxmii
42966,Once Upon a Time in Mumbaai
496527,October
46418,Rehnaa Hai Terre Dil Mein
5319,Hum Dil De Chuke Sanam
20365,Hello
46040,Tees Maar Khan
471972,Chef
80156,Gadar: Ek Prem Katha
20656,Saathiya
131940,Josh
43410,Yuva
441071,Naam Shabana
275269,Wazir
611594,Mission Mangal
53299,Patiala House
332835,Piku
679844,Radhe
518497,Sir
35907,Kaante
291154,Daawat-e-Ishq
49679,Action Replayy
915617,Hacker: Trust No One
353898,Manjhi: The Mountain Man
426558,Force 2
611356,Gulabo Sitabo
56338,7 Khoon Maaf
986594,Mrs. Chatterjee Vs Norway
82825,Kahaani
15975,Oye Lucky! Lucky Oye!
132744,One 2 Ka 4
20027,Delhi-6
601337,83
556271,Kalank
403867,Kaabil
460713,102 Not Out
569594,Bharat
165402,Main Prem Ki Diwani Hoon
766116,Runway 34
398535,Udta Punjab
401552,Sachin: A Billion Dreams
584850,Tanhaji: The Unsung Warrior
21665,Khakee
35064,Dhadkan
51725,Khuda Gawah
614179,Coolie No. 1
531597,Satyameva Jayate
118628,English Vinglish
479918,Qarib Qarib Singlle
323517,Badlapur
585062,Luka Chuppi
44972,We Are Family
726207,Phone Bhoot
157129,Table No. 21
679045,Shakuntala Devi
45001,Deewana
534081,Sandeep Aur Pinky Faraar
496076,Zero
61203,Shor in the City
143889,Nagina
455470,Meri Pyaari Bindu
337876,Gabbar Is Back
103640,Ishaqzaade
41053,Pyaasa
579230,Bala
276935,Ek Villain
27624,Maine Pyar Kiya
54890,Dhobi Ghat
137180,Aiyyaa
38440,Gangster
209410,Shuddh Desi Romance
165904,Special 26
20929,Taal
33556,Ishqiya
743382,Serious Men
15412,Khosla Ka Ghosla!
16987,Kaho Naa... Pyaar Hai
205017,Lootera
20968,Sarkar
41968,The Deceivers
392271,Rangoon
39839,Baghban
134446,Chachi 420
471894,Poster Boys
20651,Parineeta
20742,Shootout at Lokhandwala
606717,Angrezi Medium
828871,Meenakshi Sundareshwar
799177,Bhediya
82698,Ladies vs Ricky Bahl
159664,Mann
702550,Durgamati: The Myth
608746,Mumbai Saga
407547,Beiimaan Love
897525,A Thursday
821119,Jaadugar
399068,Phobia
20413,Dhamaal
20359,Phir Hera Pheri
888268,Anek
84533,Ek Main Aur Ekk Tu
20145,36 China Town
431892,Trapped
763118,Ganapath
357563,Welcome Back
778625,Doctor G
320295,Detective Byomkesh Bakshy!
53569,No One Killed Jessica
19636,Garam Masala
159090,Duplicate
41252,Raincoat
957136,Operation Romeo
507941,Section 375
46404,Manorama Six Feet Under
4252,Chalte Chalte
19624,Fashion
503928,Mahabharat
886440,Dybbuk
47655,Hisss
83903,Vaah! Life Ho Toh Aisi!
69346,Zeher
1142127,Bawaal
399624,Befikre
478682,Gold
957999,Thank You For Coming
563150,The Journey of Karma
54072,Andaaz
46415,Neal 'n' Nikki
764081,Ram Setu
14785,Bandit Queen
480810,Shaadi Mein Zaroor Aana
729700,Raksha Bandhan
370992,Shivaay
772879,Unpaused
90634,Hum Tumhare Hain Sanam
569578,Ascharya Fuck It
695951,Chehre
124595,Khoon Bhari Maang
33125,Border
283827,Singh Is Bliing
20390,No Entry
587317,Bombay Rose
35687,"LSD: Love, Sex aur Dhokha"
851783,Vikram Vedha
533237,Karwaan
547865,Jalebi
882826,An Action Hero
799155,Attack
302431,Rang Rasiya
237305,Gori Tere Pyaar Mein
124093,Jism 2
643534,Good Newwz
270823,Talaash: The Hunt Begins
37403,Agneepath
264085,Bhoothnath Returns
23848,Halla Bol
199139,Fukrey
27964,Qayamat Se Qayamat Tak
308165,Action Jackson
614256,Chhota Bheem Kung Fu Dhamaka
679031,Aankh Micholi
218779,Besharam
1046688,Apurva
161179,Shakti: The Power
63006,Dum Maaro Dum
470642,The Hungry
594673,The Tashkent Files
513540,Missing
33104,Don
627715,Marjaavaan
41518,Guzaarish
456562,Raabta
284288,Mary Kom
493620,Aiyaary
85050,Agent Vinod
34707,Darling
965087,Phule
899718,Yodha
668435,Thappad
496334,Batti Gul Meter Chalu
531601,Arjun Patiala
161834,Jhankaar Beats
512098,Blackmail
46375,Barsaat
547654,Badhaai Ho
394078,Santa Banta Pvt Ltd
361131,Hate Story 3
303904,Ungli
974025,Gumraah
