movies id,title,year,rating,genre
669583,Did It Happen?,2020.0,6.5,Drama
447856,Pad Man,2018.0,7.5,Drama
215776,Madras Cafe,2013.0,6.5,Drama
127501,Barfi!,2012.0,7.5,Drama
496320,Race 3,2018.0,4.2,Drama
44749,Race 2,2013.0,5.5,Drama
491629,Raazi,2018.0,7.2,Drama
14073,Jodhaa Akbar,2008.0,7.3,Drama
464458,Ittefaq,2017.0,6.9,Drama
206324,Bhaag Milkha Bhaag,2013.0,7.4,Drama
8453,Fanaa,2006.0,6.7,Drama
19672,Rock On!!,2008.0,6.8,Drama
503838,Raid,2018.0,7.2,Drama
22717,Wanted,2009.0,5.8,Drama
888710,OMG 2,2023.0,7.4,Drama
456570,Hindi Medium,2017.0,7.3,Drama
70590,Singham,2011.0,6.5,Drama
7509,Water,2005.0,6.9,Drama
15977,Dev.D,2009.0,6.9,Drama
498598,Sonu Ke Titu Ki Sweety,2018.0,6.5,Drama
353464,Talvar,2015.0,7.4,Drama
581361,Badla,2019.0,7.4,Drama
14071,Dostana,2008.0,6.2,Drama
79990,Desi Boyz,2011.0,6.1,Drama
613446,The Sky Is Pink,2019.0,7.9,Drama
28740,Black Friday,2004.0,7.3,Drama
21210,Dil Se..,1998.0,6.9,Drama
388333,M.S. Dhoni: The Untold Story,2016.0,7.1,Drama
376873,Rocky Handsome,2016.0,6.4,Drama
715765,Bachchhan Paandey,2022.0,5.3,Drama
15084,Salaam Namaste,2005.0,6.0,Drama
550485,Batla House,2019.0,6.9,Drama
1029827,Drishyam 2,2022.0,8.0,Drama
1136736,Lust Stories 2,2023.0,5.4,Drama
58051,Housefull,2010.0,5.6,Drama
45002,Chamatkar,1992.0,6.4,Drama
413882,Ok Jaanu,2017.0,5.9,Drama
645489,Gunjan Saxena: The Kargil Girl,2020.0,7.4,Drama
32740,Krrish,2006.0,6.4,Drama
493623,Hichki,2018.0,7.6,Drama
498448,Kesari,2019.0,7.0,Drama
441881,Tubelight,2017.0,5.4,Drama
19625,Munna Bhai M.B.B.S.,2003.0,7.2,Drama
10788,Kambakkht Ishq,2009.0,4.1,Drama
376047,Fitoor,2016.0,5.7,Drama
33081,Paheli,2005.0,6.1,Drama
377213,Te3n,2016.0,6.9,Drama
192558,Aashiqui 2,2013.0,6.9,Drama
36204,No Smoking,2007.0,6.9,Historical
250551,Gunday,2014.0,5.0,Drama
467106,Bareilly Ki Barfi,2017.0,6.7,Drama
65946,Ready,2011.0,5.0,Drama
325138,Dum Laga Ke Haisha,2015.0,7.2,Drama
503129,Student of the Year 2,2019.0,4.7,Drama
14163,Chak De! India,2007.0,7.2,Drama
11763,Bunty Aur Babli,2005.0,6.3,Drama
26815,Rocket Singh: Salesman of the Year,2009.0,6.8,Drama
376869,Neerja,2016.0,7.3,Drama
52696,Band Baaja Baaraat,2010.0,6.6,Drama
597089,Article 15,2019.0,7.5,Drama
662231,Hacked,2020.0,7.0,Drama
675592,Guilty,2020.0,6.7,Drama
1131409,Mission Raniganj,2023.0,5.9,Drama
695969,Haseen Dillruba,2021.0,6.5,Drama
376812,Sultan,2016.0,6.9,Drama
285803,Singham Returns,2014.0,6.0,Drama
392344,Baar Baar Dekho,2016.0,5.7,Drama
338065,Dil Dhadakne Do,2015.0,6.8,Drama
62883,Hum Saath Saath Hain,1999.0,5.9,Drama
330037,Brothers,2015.0,6.4,Drama
16345,Billu,2009.0,6.4,Drama
491622,Manikarnika: The Queen of Jhansi,2019.0,7.1,Historical
303372,Dil... Akhir Dil Hai,1982.0,0.0,Drama
786190,Pagglait,2021.0,6.7,Drama
33142,Vivah,2006.0,6.5,Drama
601635,Laal Singh Chaddha,2022.0,6.5,Drama
259720,2 States,2014.0,6.6,Drama
390437,Ki & Ka,2016.0,5.5,Drama
19663,Love Aaj Kal,2009.0,6.1,Romance
19637,Chup Chup Ke,2006.0,6.2,Drama
441889,Secret Superstar,2017.0,7.3,Drama
14070,Ghajini,2008.0,7.0,Drama
35053,Darr,1993.0,6.8,Drama
117691,Gangs of Wasseypur - Part 1,2012.0,7.2,Drama
103243,Vicky Donor,2012.0,6.8,Drama
611748,Housefull 4,2019.0,5.9,Drama
147405,Dabangg 2,2012.0,5.1,Drama
25867,De Dana Dan,2009.0,5.6,Drama
134215,Heroine,2012.0,5.1,Drama
878926,Khufiya,2023.0,6.0,Drama
56969,Tere Naam,2003.0,6.6,Drama
934419,Qala,2022.0,6.5,Drama
362136,Prem Ratan Dhan Payo,2015.0,5.4,Drama
44566,Anjaana Anjaani,2010.0,6.0,Drama
278347,Entertainment,2014.0,4.9,Drama
611598,Samrat Prithviraj,2022.0,7.2,Drama
22315,Aitraaz,2004.0,5.7,Drama
596650,Chhichhore,2019.0,7.7,Drama
15974,Bhoothnath,2008.0,6.1,Drama
4253,Hum Tum,2004.0,6.4,Drama
375290,Airlift,2016.0,7.1,Drama
254171,Bewakoofiyaan,2014.0,5.8,Drama
1072758,Kadak Singh,2023.0,6.3,Drama
86004,Talaash,2012.0,6.7,Drama
19887,Disco Dancer,1982.0,5.5,Drama
456565,Judwaa 2,2017.0,5.5,Drama
16283,Saawariya,2007.0,5.5,Action
310567,Umrika,2015.0,5.9,Drama
218898,Zanjeer,2013.0,4.6,Drama
168245,Kai Po Che!,2013.0,6.9,Drama
44425,Dabangg,2010.0,5.9,Drama
496524,Simmba,2018.0,6.2,Drama
